,x_34_54_windrange,y_34_54_windrange,x_55_79_windrange,y_55_79_windrange
0,2.8,2917.0616250000003,2.8,10165.587
1,3.0,2213.149125,3.0,8242.087
2,3.2,1686.7616249999999,3.2,6694.7119999999995
3,3.4,1303.424125,3.4,5475.9745
4,3.6,1009.099125,3.6,4494.3745
5,3.8,774.786625,3.8,3709.9369999999994
6,4.0,604.755375,4.0,3101.7995
7,4.2,461.527875,4.2,2582.1369999999997
8,4.4,366.306625,4.4,2149.287
9,4.6,289.727875,4.6,1801.712
10,4.8,229.767875,4.8,1521.7945
11,5.0,175.27412499999997,5.0,1273.12575
12,5.2,135.47537499999999,5.2,1064.9857499999998
13,5.4,111.53287499999999,5.4,893.34075
14,5.6,86.48362499999999,5.6,756.7232499999999
15,5.8,67.0185,5.8,637.85575
16,6.0,51.42999999999999,6.0,538.34325
17,6.2,37.24875,6.2,452.28825
18,6.4,29.99725,6.4,381.71200000000005
19,6.6,22.108249999999998,6.6,318.46462499999996
20,6.8,18.223,6.8,272.1835
21,7.0,14.37075,7.0,227.127875
22,7.2,11.831375,7.2,188.38475
23,7.4,10.057875,7.4,156.3615
24,7.6,6.4405,7.6,126.65862500000001
25,7.8,4.27925,7.8,103.43124999999999
26,8.0,2.232,8.0,87.39774999999999
27,8.2,2.232,8.2,75.482
28,8.4,1.8175,8.4,63.192625
29,8.6,1.5401249999999997,8.6,51.27524999999999
30,8.8,1.5401249999999997,8.8,42.675124999999994
31,9.0,1.5401249999999997,9.0,33.010125
32,9.2,1.5401249999999997,9.2,25.541874999999997
33,9.4,1.1677499999999998,9.4,21.770625
34,9.6,1.1677499999999998,9.6,16.560875
35,9.8,0.882875,9.8,13.026625000000001
36,10.0,0.882875,10.0,10.202875000000002
37,10.2,0.882875,10.2,8.040125
38,10.4,0.608125,10.4,7.758625000000001
39,10.6,0.294375,10.6,7.196625
40,10.8,0.294375,10.8,5.892625
41,11.0,0.294375,11.0,5.60175
42,11.2,0.294375,11.2,5.03075
43,11.4,0.294375,11.4,5.03075
44,11.6,0.294375,11.6,4.1715
45,11.8,0.294375,11.8,3.375375
46,12.0,0.0,12.0,2.7855
47,12.2,0.0,12.2,1.905125
48,12.4,0.0,12.4,1.059
49,12.6,0.0,12.6,1.059
50,12.8,0.0,12.8,0.8365
51,13.0,0.0,13.0,0.8365
52,13.2,0.0,13.2,0.5367500000000001
53,13.4,0.0,13.4,0.231875
54,13.6,0.0,13.6,0.231875
55,13.8,0.0,13.8,0.231875
56,14.0,0.0,14.0,0.231875
57,14.2,0.0,14.2,0.0
58,14.4,0.0,14.4,0.0
59,14.6,0.0,14.6,0.0
60,14.8,0.0,14.8,0.0
61,15.0,0.0,15.0,0.0
62,15.2,0.0,15.2,0.0
63,15.4,0.0,15.4,0.0
64,15.6,0.0,15.6,0.0
65,15.8,0.0,15.8,0.0
66,16.0,0.0,16.0,0.0
67,16.2,0.0,16.2,0.0
68,16.4,0.0,16.4,0.0
69,16.6,0.0,16.6,0.0
70,16.8,0.0,16.8,0.0
71,17.0,0.0,17.0,0.0
72,17.2,0.0,17.2,0.0
73,17.4,0.0,17.4,0.0
74,17.6,0.0,17.6,0.0
75,17.8,0.0,17.8,0.0
76,18.0,0.0,18.0,0.0
77,18.2,0.0,18.2,0.0
78,18.4,0.0,18.4,0.0
79,18.6,0.0,18.6,0.0
80,18.8,0.0,18.8,0.0
81,19.0,0.0,19.0,0.0
82,19.2,0.0,19.2,0.0
83,19.4,0.0,19.4,0.0
84,19.6,0.0,19.6,0.0
85,19.8,0.0,19.8,0.0
