,x_all,y_34_54_windrange_min,y_34_54_windrange_max,y_55_79_windrange_min,y_55_79_windrange_max
0,2.8,1610.9260000000002,4792.889,4608.816,21457.566
1,3.0,1196.726,3584.889,3601.816,18191.566
2,3.2,868.826,2757.989,2734.816,15642.565999999999
3,3.4,659.126,2207.989,2238.116,13473.565999999999
4,3.6,498.12600000000003,1767.789,1705.416,11640.565999999999
5,3.8,383.826,1352.989,1340.616,10093.565999999999
6,4.0,301.476,1033.789,1061.816,8761.565999999999
7,4.2,211.50600000000003,787.389,843.5160000000001,7660.566
8,4.4,164.836,629.189,620.716,6684.266
9,4.6,133.246,502.789,503.216,5780.866
10,4.8,106.006,395.389,391.316,5030.766
11,5.0,70.51599999999999,309.589,299.02599999999995,4393.965999999999
12,5.2,45.565999999999995,241.839,244.91599999999997,3890.6659999999997
13,5.4,37.266999999999996,192.019,205.06599999999997,3373.2659999999996
14,5.6,28.982999999999997,148.24900000000002,172.296,2931.3659999999995
15,5.8,20.714,119.16900000000001,116.386,2533.6659999999997
16,6.0,14.512999999999998,90.099,95.45599999999999,2207.066
17,6.2,8.315999999999999,61.089,67.606,1888.466
18,6.4,4.186,55.292,44.355999999999995,1682.7659999999998
19,6.6,2.09,40.782,37.388999999999996,1438.8659999999998
20,6.8,2.09,26.272,28.098,1253.5659999999998
21,7.0,2.09,20.482999999999997,16.458,1071.966
22,7.2,2.09,20.482999999999997,9.411,913.266
23,7.4,2.09,11.767999999999999,4.715,794.466
24,7.6,0.0,5.888999999999999,2.344,658.066
25,7.8,0.0,2.979,0.0,551.266
26,8.0,0.0,2.979,0.0,476.39599999999996
27,8.2,0.0,2.979,0.0,424.816
28,8.4,0.0,2.979,0.0,355.566
29,8.6,0.0,2.979,0.0,290.606
30,8.8,0.0,2.979,0.0,251.516
31,9.0,0.0,2.979,0.0,197.016
32,9.2,0.0,2.979,0.0,153.256
33,9.4,0.0,0.0,0.0,129.016
34,9.6,0.0,0.0,0.0,102.476
35,9.8,0.0,0.0,0.0,82.486
36,10.0,0.0,0.0,0.0,59.89600000000001
37,10.2,0.0,0.0,0.0,48.61600000000001
38,10.4,0.0,0.0,0.0,46.364000000000004
39,10.6,0.0,0.0,0.0,41.868
40,10.8,0.0,0.0,0.0,37.348
41,11.0,0.0,0.0,0.0,35.021
42,11.2,0.0,0.0,0.0,30.453000000000003
43,11.4,0.0,0.0,0.0,30.453000000000003
44,11.6,0.0,0.0,0.0,23.579
45,11.8,0.0,0.0,0.0,18.953
46,12.0,0.0,0.0,0.0,14.234
47,12.2,0.0,0.0,0.0,7.191
48,12.4,0.0,0.0,0.0,4.837
49,12.6,0.0,0.0,0.0,4.837
50,12.8,0.0,0.0,0.0,4.837
51,13.0,0.0,0.0,0.0,4.837
52,13.2,0.0,0.0,0.0,2.439
53,13.4,0.0,0.0,0.0,0.0
54,13.6,0.0,0.0,0.0,0.0
55,13.8,0.0,0.0,0.0,0.0
56,14.0,0.0,0.0,0.0,0.0
57,14.2,0.0,0.0,0.0,0.0
58,14.4,0.0,0.0,0.0,0.0
59,14.6,0.0,0.0,0.0,0.0
60,14.8,0.0,0.0,0.0,0.0
61,15.0,0.0,0.0,0.0,0.0
62,15.2,0.0,0.0,0.0,0.0
63,15.4,0.0,0.0,0.0,0.0
64,15.6,0.0,0.0,0.0,0.0
65,15.8,0.0,0.0,0.0,0.0
66,16.0,0.0,0.0,0.0,0.0
67,16.2,0.0,0.0,0.0,0.0
68,16.4,0.0,0.0,0.0,0.0
69,16.6,0.0,0.0,0.0,0.0
70,16.8,0.0,0.0,0.0,0.0
71,17.0,0.0,0.0,0.0,0.0
72,17.2,0.0,0.0,0.0,0.0
73,17.4,0.0,0.0,0.0,0.0
74,17.6,0.0,0.0,0.0,0.0
75,17.8,0.0,0.0,0.0,0.0
76,18.0,0.0,0.0,0.0,0.0
77,18.2,0.0,0.0,0.0,0.0
78,18.4,0.0,0.0,0.0,0.0
79,18.6,0.0,0.0,0.0,0.0
80,18.8,0.0,0.0,0.0,0.0
81,19.0,0.0,0.0,0.0,0.0
82,19.2,0.0,0.0,0.0,0.0
83,19.4,0.0,0.0,0.0,0.0
84,19.6,0.0,0.0,0.0,0.0
85,19.8,0.0,0.0,0.0,0.0
