mass_bin1,mass_bin2,mass_bin3,mass_bin4,samp_day,date
31.987599836371633,29.62902838957735,,,1,2018-12-05 00:00:00
46.32082567060447,45.127477905997644,,,2,2019-01-01 00:00:00
60.58660584902679,65.06434660297751,74.00104958381496,,3,2019-04-13 00:00:00
17.244187977861,18.507413431112383,23.954124068332696,,4,2019-04-23 00:00:00
11.96622695732984,12.017653426677754,,,6,2019-06-16 00:00:00
34.81740233689311,29.830233170166572,32.74038502376408,,7,2019-07-31 00:00:00
21.10042718903886,25.79445750448506,21.235046028158642,,8,2019-08-15 00:00:00
5.339124002802944,6.327469552221703,7.794548998476044,,9,2019-08-20 00:00:00
10.307655025580129,7.28082170059249,8.171302618122875,6.743462424802399,10,2019-08-22 00:00:00
17.316224097192666,12.55574340963005,12.879868916416196,18.607373456280246,11,2019-09-10 00:00:00
